
? CHAPTER ONE  ?
Table 1–6: Character Backgrounds/Concepts 3
1  History. You have a love of antiquities; history and ancient lore fascinate you.
2  Honest. You can't tell a believable lie-which could be at odds with your ambitions.
3  Horror. You love to be terrified; the spookier and scarier things are the better you like it.
4  Hurt. You've been hurt by members of the opposite sex and now you distrust them.
5  Husbandry. You see to the group's mounts' needs even more carefully than to your own.
6  Hygiene. You often make your companions wait while you freshen up at all hours of the day.
7  Illegitimate. You are the bastard child of someone of importance.
8  Indigestion. You have a very delicate stomach and must eat the blandest of foods or suffer greatly.
9  Insane. You are either suffering from a form of insanity or you pretend to be afflicted.
10  Joker. You like to play practical jokes on your companions.
11  Journal. You keep a detailed log of all your endeavors.
12  Kleptomaniac. You just can't resist putting trinkets and baubles into your pockets. 
13  Liar. You can't seem to tell the truth-which could make life difficult if you intend to be honest.
14  Lightweight. You have no tolerance for alcohol of any type; even the smallest sip will affect you.
15  Link. You have a mental link to a villain; in your dreams you see his crimes being committed.
16  Loner. You abstain from physical contact and "interaction."
17  Luck. You carry a charm, going to extreme measures to avoid losing it.
18  Macabre. You find death of great interest, often watching for departing spirits of those recently slain.
19  Married. You are either happily or unhappily married, with or without children.
20  Military. You once belonged to the King's men, local militia, or a regimented mercenary company. 
Table 1–7: Character Backgrounds/Concepts 4
1  Miser. You find it very difficult to spend money; you'd much rather save it.
2  Mount. You have bonded with a mount; this creature is your best friend.
3  Mute. You can't or won't speak; you may know some form of sign language.
4  Night owl. You sleep half the day, spending the night awake.
5  Nightmares. You are often plagued by bad dreams that you can barely remember.
6  Nobility. You are somehow from noble blood and prefer the company of aristocracy.
7  Obsessive. You look for meaning in everything, sometimes even in trivial matters.
8  Oracle. You have dreams that you believe foretell the future.
9  Ordinary. You believe you are nothing special.
10  Orphan. Your kin are a mystery. You either search for them or prefer to remain in the dark.
11  Outcast. You were raised by a race different from your own.
12  Outlandish. You wear odd clothes and often (unknowingly) dress in clashing colors.
13  Patriotic. You respect and admire the local government. You don't like seditious speech.
14  People. You are a people person and never forget a name, a face or both.
15  Pious. You are not a priest, but you are a devout follower of a deity, perhaps even fanatic.
16  Polygamy. You are married to more than one person. They may or may not know about each other.
17  Posing. You pretend to be a member of the opposite sex.
18  Prodigy. You are of another class, but have some wizard spells available to you.
19  Prophecy. You believe that either you or someone you know will fulfill a prophecy, for good or ill.
20  Pursued. You are pursued-crime, mistaken identity-which threatens your independence.

? CHAPTER ONE  ?
Table 1–8: Character Backgrounds/Concepts 5
1  Pyromaniac. You build bonfires instead of campfires. You enjoy tending a fire, making sure it stays lit.
2  Ravenous. You are always hungry, often eating in the saddle and sometimes even during battle.
3  Ringer. Someone who looks like you makes your life difficult, generally ruining your reputation. 
4  Rival. You have a rival of the same class and general level; you are always trying to outdo each other.
5  Shill. You size up people quickly and work with others to earn their confidence for your own ends.
6  Single parent. You have children being raised by family members while you adventure.
7  Slander. Someone works to ruin your reputation,  coloring your exploits with unflattering lies.
8  Sleepwalker. You walk in your sleep and often find yourself in strange places when you awake.
9  Sleepy. You never sleep enough. Once in a city you can spend the entire day and night in bed.
10  Superstitious. You are always on the watch for omens; you see portents in the simplest of events.
11  Sweettooth. You love sweet foods and drinks, and sometimes make a meal of sweets.
12  Tattoos. You can't get enough of them; you either pay someone or you do your own.
13  Teacher. You quote words of wisdom, story morals, or sayings intended to provoke introspection.
14  Trophy. You collect trophies, either from foes or animals.
15  Underdog. You favor the downtrodden and will often take their views and goals as your own.
16  Villainy. You are fascinated by villains or folks with bad reputations.
17  Voices. You hear voices that don't seem to come from the people around you.
18  White sheep. Your family members are all unsavory types; you are the only one who isn't.
19  Witness. You've witnessed a crime and the culprits are looking for you.
20  Xenophile. You find yourself exclusively interested in a race you weren't born into.

? CHAPTER ONE  ?
Table 1–9: Character motivation 1
1  Access another dimension
2  Alleviate feelings of guilt
3  Amass an army
4  Assume another's identity
5  Attend an event
6  Attract a following
7  Attract another
8  Avoid responsibilities
9  Become a martyr
10  Become famous
11  Become happy
12  Become immortal
13  Become infamous
14  Become normal
15  Become sane
16  Become wealthy
17  Befriend another
18  Chronicle history
19  Complete a mission
20  Conquer a nation
Table 1–10: Character  motivation 2
1  Continue a legacy
2  Cure a disease
3  Damage another's reputation
4  Delay a wedding
5  Deliver a message
6  Destroy a relationship
7  Destroy an enemy
8  Discover the truth
9  Do good
10  Dominate a nation
11  Dominate the world
12  Earn money
13  Eliminate a pest
14  Eliminate a populace
15  Eliminate a race
16  Eliminate a threat
17  Eliminate a weakness
18  Enact revenge
19  End a relationship
20  End a rivalry
Table 1–11: Character  motivation 3
1  End a war
2  End own life
3  End suffering
4  Enforce the law
5  Entertain
6  Escape someone's homeland
7  Escape punishment
8  Establish a new identity
9  Establish a relationship
10  Exile someone
11  Explore new territories
12  Find a lost treasure
13  Find a missing object
14  Find a missing person
15  Find an antidote
16  Find someone
17  Find spiritual enlightenment
18  Frame someone
19  Frighten
20  Gain a reward
Table 1–12: Character  motivation 4
1  Gain an award
2  Gain approval
3  Gain attention
4  Gain power
5  Gain protection
6  Gain ransom monies
7  Gain trust
8  Hide a secret
9  Hide someone's identity
10  Hide someone's past
11  Imprison another
12  Improve someone's social status
13  Improve someone's quality of life
14  Increase a collection
15  Inspire emulation
16  Inspire rebellion
17  Investigate
18  Lead others
19  Learn someone's future
20  Limit someone's actions

? CHAPTER ONE  ?
Table 1–13: Character  motivation 5
1  Live vicariously
2  Make a sacrifice
3  Make someone angry
4  Make someone envious
5  Make someone fail
6  Make someone happy
7  Make someone ill
8  Make someone jealous
9  Make someone laugh
10  Make someone sad
11  Make someone succeed
12  Obtain weapons
13  Overcome a weakness
14  Overturn a decision
15  Pass an initiation
16  Pay a debt
17  Perform a religious ceremony
18  Predict the future
19  Prolong a war
20  Promote peace
Table 1–14: Character  motivation 6
1  Protect a reputation
2  Prove self
3  Prove someone's innocence
4  Reanimate the dead
5  Reclaim property
6  Regain control
7  Regain fame
8  Regain humanity
9  Regain someone's affections
10  Regain power
11  Regain wealth
12  Regain youth
13  Relieve boredom
14  Renew interest in something
15  Repair damage
16  Rescue someone
17  Research a project
18  Return home
19  Right a wrong
20  Ruin an event
Table 1–15: Character  motivation 7
1  Satisfy a desire or need
2  Satisfy an obligation
3  Satisfy a curiosity
4  Save another
5  Save face
6  Secure payment
7  Set an example
8  Silence someone
9  Solve a mystery
10  Spy on another
11  Start a castle
12  Start a family
13  Start a nation
14  Start a war
15  Subdue
16  Test someone's limits
17  Travel
18  Usurp someone's power
19  Win a bet
20  Worship a deity

Table 1–16: Common Rites of Passage
1  Acceptance to church/university
2  Accolade
3  Apprenticeship
4  Baptism
5  Become an adult (ceremony)
6  Building a home in community
7  Celebration of adulthood
8  Earns citizenship or voting rights
9  First tattoo or ritual scars
10  Graduation from class
11  Initiation to group or gang
12  Joining the watch or guard
13  Marriage/wedding
14  Membership in a guild
15  Naming ceremony
16  Performance of recital
17  Personal pilgrimage
18  Scarification
19  Spiritual epiphany or vision quest
20  Taking vows

? CHAPTER ONE  ?
Table 1–17: Character Quirks 1
1  Allergic to an animal or plant
2  Always adjusts clothes, weapons, belts
3  Always injects a laugh into conversation
4  Always keeps a shaved head
5  Cannot hear very well
6  Challenged fashion sense
7  Enjoys a unique hobby or pastime
8  Enjoys practicing a favorite skill, continually
9  Failing eyesight
10  Frequently enjoys alcohol
11  Frequently has trouble sleeping well
12  Frequently rubs holy symbol around neck
13  Gets along easily with animals and beasts
14  Inattentive to personal appearance
15  Insatiable flirt with the opposite sex
16  Keeps hair in a strange or exotic way
17  Known to be a casual liar
18  Name-dropper
19  Nervous habit shows itself at strange times
20  Never learned to read or write (maybe both)
Table 1–18: Character Quirks 2
1  Never without a favored item
2  Never eats meat or animal byproducts
3  No musical taste or ear and a terrible singer
4  Obsessive about certain foods
5  Old wound causes a slight limp in gait
6  Opinionated about any conversation or topic
7  Overweight from indulgence
8  Personal appearance is very important
9  Practices a favorite musical instrument
10  Recurring facial tick during stress
11  Smokes pipeweed or tobacco frequently
12  Speaks with a strange accent
13  Subscribes to a number of local superstitions
14  Suffers from long-term illness symptoms
15  Suffers from a phobia gained long ago
16  Thinks quite highly of oneself
17  Trouble seeing different colors
18  Wanderlust
19  Weak stomach for messy violence
20  Yearns for the outdoors
Table 1–19: Character Features 1
1  Always partially unshaven
2  Always wears at least one piece of jewelry
3  Bald, intentional or not
4  Bears a mighty scar in an obvious place
5  Body piercings cover face and chest
6  Broken nose from childhood accident
7  Criminal brand on forehead, hand, or neck
8  Deep, booming voice
9  Exceptionally short or tall for species
10  Extremely hairy arms and knuckles
11  Furrowed brow, wrinkled from worry
12  Generally ugly or haggard-looking
13  Gestures with hands when speaking
14  Healthy physique, but aged face and hands
15  Long braided hair and/or beard
16  Long slender fingers and soft palms
17  Missing a finger or toe
18  Missing tooth or teeth
19  Never without a companion or escort
20  Never without a drink
Table 1–20: Character Features 2
1  Over-explains everything, twice
2  Overall, thin and frail
3  Overly masculine or feminine features
4  Picks teeth incessantly
5  Slender eyes appear nefarious
6  Slow to respond to everything
7  Speaks with a strange, indiscernible accent
8  Strong and muscled physique
9  Strong chin, denotes authority
10  Suffers a low, gruff voice
11  Thick head of hair
12  Two different or exotic eye colors
13  Unusual tattoo* (see table 1–33)
14  Uses coarse or common language
15  Walks hunched with shame
16  Walks with a slight limp
17  Walks with a cane
18  Walks with a military stride
19  Wears exotic and expensive clothing
20  Wears eyepatch (whether or not it's needed)

? CHAPTER ONE  ?

Table 1–21: Superstitions and Taboos
1  Always feed food to the fire before eating
2  Avoid mirrors at all cost
3  Baths should only be taken in natural sources, such as lakes and streams
4  Cats can see the aura of good or evil in humans
5  Circle every home once before entering, or evil may follow you inside
6  Dew on the grass in the morning means no rain for the day
7  Exit any building by the way it was entered to avoid bad luck
8  Fingernail cuttings should be saved, burned, or buried
9  If a dead person's eyes are left open, he'll find someone to take with him
10  Keeping items in a person's possession imbues that item with part of his spirit
11  Must never cut hair
12  Never breathe near the dead or they may inhabit the living
13  Never follow in someone else's footprints or you will inherit their bad luck
14  Never kill a spider
15  Never kill or eat birds
16  Never look at the moon or suffer madness
17  Never sit on bare stone
18  Never start a trip on the last day of the week or misfortune will follow
19  Never whistle, it calls wind spirits
20  Throw back the first fish you catch then you'll be lucky the whole day fishing

Table 1–22: Nightmares
1  Abandonment by your deity or church
2  Being last in your party alive in an ancient castle, isolated and alone
3  Beloved magic item sundered or made useless
4  Caught for a crime against all you stand for which you didn't commit; penalty is death
5  Chased by an aberration through the woods while blinded
6  Dissolved by an ooze in a pit of skeletons, while still alive
7  Drowning under oppressive circumstances
8  Failed a party member and watched their death as a result
9  Failing at a game of skill, like the local fair or a jousting match
10  Failure or looking foolish to a beloved
11  Falling from a great height
12  Horse or beloved mount takes a mortal wound while you are riding
13  Involved in a lightning-storm shipwreck
14  Loss of magical power or knowledge
15  Lost in catacombs or sewers while chased by shadows
16  Overrun by a swarm of flesh-eating insects
17  Slowly gnawed in a dragon's maw while paralyzed
18  Suffering the effects of a wasting disease
19  Surrounded by the hungry undead with an appetite for eyes
20  Watching your business or dwelling destroyed by fire or magic

? CHAPTER ONE  ?

Table 1–23: Insanities
1  Amnesia. Loss of memory.
2  Antipathy. Lack of emotion
3  Catatonia. Fall into a stupor.
4  Delusions. Believe things that aren't true.
5  Dipsomania. Need for alcohol.
6  Hallucinations. See things that aren't there.
7  Hebephrenia. Foolishness.
8  Homicidal mania. Need to kill others.
9  Kleptomania. Need to steal.
10  Megalomania. Feeling of superiority.
11  Monomania. Obsession with one idea/subject.
12  Obsessive-compulsive. Repetitive behavior.
13  Paranoia. Fear that everyone's out to get you.
14  Pathological liar. Need to lie about everything.
15  Psychopath. Aggressive or amoral behavior.
16  Quixotism. Need to perform deeds for an irrationally romantic ideal of duty or honor.
17  Sadism. Need to harm others.
18  Schizophrenia. Paranoia, incoherent speech, delusions, emotional detachment, etc.
19  Sociopathy. Antisocial behavior.
20  Suicidal mania. Need to kill oneself.

Table 1–24: Phobias
1  Acrophobia. Heights.
2  Agoraphobia. Open places.
3  Autophobia. Being alone.
4  Bathophobia. Deep places.
5  Claustrophobia. Confined spaces.
6  Demophobia. Crowds.
7  Gephyrophobia. Crossing bridges.
8  Haphephobia. Being touched.
9  Hydrophobia. Water.
10  Hypnophobia. Sleep.
11  Hematophobia. Blood.
12  Necrophobia. Dead things.
13  Ophiophobia. Snakes.
14  Pyrophobia. Fire.
15  Sciophobia. Shadows
16  Scotophobia. Darkness.
17  Theophobia. Religion or god.
18  Vermiphobia. Worms.
19  Xenophobia. Foreigners.
20  Zoophobia. Animals.

Table 1–25: Hobbies
1  Animal study
2  Athletic competition
3  Brewing alcohol
4  Collecting items
5  Cooking unique dishes
6  Creative writing
7  Dart contests
8  Games of chance
9  Gardening
10  Glassblowing
11  Miniatures
12  Model building
13  Outdoor recreation
14  Painting scenes or portraits
15  Performing at theater
16  Performing with an instrument
17  Pottery making
18  Reading and literature
19  Sewing clothes
20  Woodworking or whittling

Table 1–26: Inheritance
1  Animals/Pets
2  Art
3  Business
4  Castle
5  Children
6  Coins
7  Collection
8  Gems
9  Gold
10  Guild
11  Home 
12  Keep 
13  Land
14  Library
15  Magical gear
16  Position of power
17  Servant
18  Slaves
19  Spellbook
20  Weapons

? CHAPTER ONE  ?
Table 1–27: Collections 1
1  Animals
2  Armor
3  Bones
4  Books/Journals
5  Bottles/Containers
6  Carvings/Drawings/Engravings
7  Clothing (general)
8  Clothing (specific)
9  Coats of Arms/Heraldry
10  Crystals/Prisms
11  Figurines
12  Flowers
13  Foreign items
14  Games
15  Gems/Jewelry
16  Helmets
17  Historical coins
18  Horses
19  Insects
20  Leather goods
Table 1–28: Collections 2
1  Lenses
2  Letters
3  Magical components/equipment
4  Maps or Scrolls
5  Medals
6  Music (written or instruments)
7  Omens/Prophecies
8  Paintings
9  Puzzles
10  Religious items
11  Scarves
12  Shackles
13  Songs
14  Stargazing charts
15  Statues
16  Stories
17  Tools
18  Trophies
19  Weapons
20  Wine

Table 1–29: Birthmarks
1  Beast (magical or otherwise)
2  Black circles around both eyes
3  Charging horse
4  Claw of an eagle
5  Comet
6  Crossed swords
7  Crude map
8  Falcon
9  Five words in Draconic
10  Gold dragon with its wings spread
11  Holy symbol
12  Image of an avatar of a god
13  Moon and three stars
14  Sigil of a wizard who lived 1,000 years ago
15  Skull
16  Spell written in an ancient language
17  Starburst
18  Symbol of a death cult
19  Symbol of a plague carrier
20  Tower or important location

Table 1–30: Tattoos (Basic Shapes)
1  Aberration
2  Animal
3  Archaic symbol
4  Dragon
5  Evil outsider
6  Flower
7  Good outsider
8  Holy symbol
9  Magical rune
10  Mystic rune
11  Mythical creature
12  Name
13  Reptile
14  Sea serpent
15  Ship
16  Skull
17  Starburst design
18  Tribal
19  Vine
20  Weapon

? CHAPTER ONE  ?
Table 1–31: Tattoos (Common Details) 1
1  Anchor with rope 
2  Arcane symbol or shape
3  Axe or crossed axes
4  Banner bearing the colors red and purple
5  Bow with a flaming arrow
6  Castle tower
7  Celtic knot
8  Charging bull
9  Crossed swords
10  Demon claws
11  Dragon (crouching, flying, or otherwise)
12  Flock of birds
13  Flying or hanging bat
14  Fox chased by a large dog
15  Giant fist
16  Growling grizzly bear head
17  Hammer and anvil
18  Heart with a dagger through it
19  Holy symbol of a god
20  Human or orc skull
Table 1–32: Tattoos (Common Details) 2
1  Human or orc skull
2  Laid stones forming a wall
3  Letter "J"
4  Maul surrounded by dwarven braid
5  Musical instrument
6  Noose
7  Ornate rapier
8  Owl with three arrows clutched in its claw
9  Robed figure carrying a scythe
10  Rune (draconic, dwarven, or other)
11  Sailing ship
12  Shattered sword
13  Shield with a bird of prey in the middle
14  Ship on water
15  Skull and crossbones
16  Starburst
17  Sun with a hawk flying out of it
18  Swimming shark
19  Sword and circular shield
20  Three daggers with the points touching

Table 1–33: Tattoos (Unusual) 
1  Angel with wings spread
2  Black rose
3  Crows feeding on a dead body
4  Daggers within daggers within daggers
5  Dead goat hanging upside down
6  Deity fighting a massive serpent
7  Eye pierced by a dagger
8  Eyes (tattooed all over body)
9  Fire engulfing other tattoos
10  Forked tongue painted on tongue
11  Gates inside the mouth of a demon
12  Head of a praying mantis
13  Hippogriff chewing on banner/standard
14  Map
15  Number of a mercenary company (faded)
16  Prose (like a poem or list of names)
17  Skull with a snake through the eye sockets
18  Succubus with wings folded
19  Troll eating an elf, feet first
20  Undead

Table 1–34: Tattoos (magical) 
1  Arcane sigil on tongue
2  Celtic braid on back or face
3  Draconic rune on shoulder
4  Glowing arcane mark on palm
5  Glowing compass
6  Glowing sigil over heart
7  Handprint on chest or back
8  Holy/unholy words on scalp
9  Maze of shapes and patterns across back
10  Runes across neck
11  Sacred name inside lip
12  Sanskrit proverb across forearms
13  Sanskrit rune on back of hand
14  Slyvan runes on stomach
15  Stars at key 'energy' points
16  String of numbers behind the knee
17  Third eye
18  Tribal band across back and pelvis or shin
19  The Unspeakable One/Thing
20  Words to a spell on arm

? CHAPTER ONE  ?
character Paths
Table 1–35: Barbarian Tribes 1
1  Bear Fury Tribe
2  Black Scar Clan
3  Blood Thorn Tribe
4  Bloody Pact Clan
5  Brotherhood of the Axe
6  Blue Scale Clan
7  Clan of the Fallen Towers
8  Clan Dragon Claw
9  Clutch of a Thousand Arrows
10  Devil's Horn Tribe
11  Fire Eyes Band
12  Gang of Seven
13  Green Mace Horde
14  Hag's Children
15  Hippogriff Feather Brotherhood
16  Horseman's Pride Clan
17  House of the Eldermen
18  House Long Saber
19  Iron Hammer Clan
20  Jade Flower Clan
Table 1–36: Barbarian Tribes 2
1  Kracken's Claw
2  Medusa's Children
3  Nomad's Lance
4  Northmen of Patience Plains
5  Order of the Last Scion
6  Pointing to the Sun Clan
7  Rage of the 
8  Ruin's Home Tribe
9  Spider Tooth Clan
10  Stolen Fyre Tribe
11  Sullen Storm Clan
12  Tails of the Serpent Sect
13  Thundering Hooves Tribe
14  Tribe of Lost Faith
15  Tribe of the Sundered Moon
16  Tribe of the Wandering Sword
17  West Edge One People
18  White Dragon Marked Tribe
19  Wolf Hunter Brotherhood
20  Wyrm Rider Clan

Table 1–37: Barbarian Rites of Passage
1  Bring a relic back from a sunken ruin
2  Bring back the egg of a great flying creature
3  Bring back the head of a magical beast
4  Bring back the live young of a totem animal
5  Bring back the scalp of an enemy tribesman or animal totem
6  Craft a personal talisman baptized in blood
7  Craft weapon and armor from scratch
8  Drink the blood of the first solo kill
9  Find your way home from a place in the wild
10  Harvest a rare herb, useful to the tribe
11  Kill a totem animal or beast unarmed
12  Paddle a canoe up rapids
13  Perform a tribal self-scarring ceremony
14  Produce offspring with a chosen mate
15  Receive a vision quest after meditating in a medicine lodge
16  Steal from an enemy encampment
17  Survive for one week alone in the wilderness
18  Swim across a great river
19  Touch, with painted hand, a live totem animal
20  Track enemy tribe for two weeks, undetected

? CHAPTER ONE  ?

Table 1–38:  musical Instruments
1  Alphorn
2  Bagpipes
3  Cornamuse or Dulcian
4  Cittern or Guitar
5  Drums
6  Dulcimer or Organetto
7  Fiddle, Rebec, or Viol
8  Harp or Harpsichord
9  Horn*
10  Hurdy-gurdy
11  Kortholt, Rauschpfeife, or Recorder
12  Lizard or zink
13  Lute
14  Lyre
15  Mandolin
16  Pan pipes
17  Phorminx
18  Serpent
19  Shawn
20  Transverse flute

Table 1–39: Bard Song Names 1
1  Anthem for Griffon Company
2  Anthem of the Age of Dragons
3  Aria for a Lost Winter
4  Arietta for War's End
5  Ballad for Queen Ilsona of Ketinmach
6  Ballad of Bloodgulch
7  Barcarolle of Frail Leymaria
8  Cabaletta of the Shadow Empire
9  Call of the Raven
10  Canticle of Leland the Marked
11  Cantos VI of the Mirror Cycle
12  Canzone for Nabthaterol
13  Chant of the Battlemaidens of Utaris
14  Chorus for the Soldiers of Valor
15  Composition for a King
16  The Count's Solo
17  Duet of Misha and Kitara
18  Epic for the Empire of Talistalv
19  Epic of Wraxheinous the Dragon King
20  Hymn of the Brother Monks of Newall
Table 1–40: Bard Song Names 2
1  Hymnal for the Winter Solstice
2  Lament for Amrathreal 
3  Lullaby for Antony, Boy King
4  Lyric for a Missing Son
5  Melody for a Bishop's Tear
6  Quatrain of the Lost Shepherds
7  Opus Dream Suite
8  Poems of Peace
9  Psalms of the Beggar Tree
10  Requiem of Yislean of Harrowford
11  Round for Brother Val
12  Roundelay for 'Morrow
13  Serenade for Fair Sheridan of One Thousand Romances
14  Song of the Whispering Moors
15  Sonata of the Pyramid Kings
16  Sonnet of Seven Summers
17  Symphony for Kings of Old
18  Tale of the Druids of Dunwell Grove
19  Threnody for the Sealost
20  Tune of Aidan the Hero Farmer

Table 1–41: Bard Performances
1  Back of a traveling cart
2  Before a marching army
3  Celebration, impromptu or annual
4  Ceremony, impromptu or regional
5  Deck of a ferryboat
6  Honoring someone of merit or esteem
7  In front of a fire
8  Outside a business
9  Part of a parade
10  Part of a traveling act
11  Platform stage at an inn
12  Raised stage at a tavern
13  Royal ball
14  Sitting in a tree
15  Sitting on the roof of a local business
16  Standing on a barrel
17  Store front on a street corner
18  Surrounded by a street crowd
19  While mounted
20  While strolling down a street

? CHAPTER ONE  ?

Table 1–42: Clerics
1  Churchman Christophorus Stoutheart
2  Clergyman Rogar Mooria
3  Divine Servant Cydnus Heartstrong
4  Father Zared Stoneworthy
5  High Cleric Benedictus Perok
6  High Cleric Emeric Genosis
7  High Holiness Barten Lawfellow
8  High Holiness Kindam Wisewords
9  Minister Hadessa Brightsong
10  Minister Petris Kinkeeper
11  Mother Raphaela Talas
12  Parson Jeremiah Tringe
13  Parson Jukalia Zantys
14  Preacher Alexander Cyrian
15  Preacher Octavia Farreacher
16  Priest Davron Wisdomworker
17  Priest Marius Truesight
18  Saint Abigail Truewhisper
19  Saint Josetta Unbinger
20  Sister Gargi Wayseeker

Table 1–43: Divine Path
1  Become part of something worldly
2  Born to a holy monastery
3  Draw out and smite heathens
4  Following in parent's footsteps
5  Forced to save face
6  Found a holy symbol in the wild
7  Got a calling to the religion during prayer
8  Heard the calling during a traumatic event
9  Left as an orphan to the church
10  Needed to shephard a "lost" community
11  Needed to show others god's glory
12  Oppose a god that battles your beliefs
13  Pacifist who wishes to help others
14  Received a vision while working the fields
15  Seek true enlightenment and inner peace
16  Serve a higher, immortal purpose
17  Someone who wishes to heal others
18  Spiritually advise a ruling family
19  Wanted a proper education
20  Wanted to learn to stop an undead plague

Table 1–44: Ceremonies
1  Ambassador's greeting
2  Awarding a hero a medal
3  Being inducted into a church or religion
4  Birth of a prince or princess
5  Coming of age
6  Consecrating a new temple
7  Crowning of a king or queen
8  Death of a hero
9  Death of royalty
10  Graduating from a school or university
11  Launching of a ship
12  Marriage, peasants or nobles
13  Opening of a bridge
14  Opening of a building
15  Receiving knighthood
16  Return of an important group
17  Season change
18  Someone taking sacred vows
19  Victory of a great battle
20  Weekly holy day

? CHAPTER ONE  ?
Table 1–45: Holy Orders 1
1  Baneful Disciples
2  Black Order of the Lich Worshippers
3  Blessed Crusade for Dwarves
4  Blessed Order of Sea Travelers
5  Bloody Crusade
6  Bloody Hands
7  Bringers of Death
8  Brothers of Enlightenment and Understanding
9  Builders of the Holy Light
10  Cloistered Students
11  Consecrated Musicians
12  Death Circle
13  Defiled Whip and Tarnished Chain
14  Deft Brotherhood
15  Deliverers of Sky
